Comment,irony,
依靠 主观臆断 吗 吗,1,11
依靠 主观臆断 主观臆断 吗,1,14
依靠主观臆断吗,1,7
遗体已找到,0,5
已成年,0,3
已读回执,0,4
已和平分手,0,5
已恨,1,2
已恨 已恨,1,5
已经,0,2
已经不只是暴雨了,0,8
已经处理,0,4
已经构成违规前提,0,8
已经好多啦,0,5
已经嫁啦,0,4
已经开始了,0,5
已经慢慢减速了,0,7
已经是顶格处罚了,0,8
已经有后续了,0,6
已经有了啊,0,5
已经有前科了,0,6
已经走司法程序了,0,8
已去报警,0,4
已阅,0,2
以 下 的 速度,1,8
以爱之名,0,4
以暴力,0,3
以备下雨的时候用,0,8
以不知为理由未免过于愚蠢和可笑,1,15
以后 不要 称呼 孩子 了,1,13
以后 称呼 不要 孩子 了,1,13
以后 了 不要 称呼 孩子 了,1,15
以后不要称呼孩子了,1,9
以后的事再说吧,0,7
以后儿媳妇真,0,6
以后会更少吧,0,6
以后会注意,0,5
以后就常态化了,0,7
以后去海南等地休假,0,9
以后限制购票,0,6
以后学历是什么呢,0,8
以后应该禁止,0,6
以后用的上,0,5
以及 对手 的 衰败 速度,1,13
以及 对手 的 速度,1,10
以及 对手 速度 衰败 的,1,13
以及对手的衰败速度,1,9
以及网络暴力,0,6
以儆效尤,0,4
以免发生类似的案件,0,9
以免放出来危害社会,0,9
以前不都是打码,0,7
以前读小学,0,5
以前写字楼不禁烟,0,8
以前要干苦力么,0,7
以前也有,0,4
以前怎样还怎样,0,7
以前扎针的是他们吗,0,9
以人为本的话,0,6
以人为本知道吗,0,7
以上全都要,0,5
以上这些基本全干过,0,9
以为 不想,1,5
以为 电视剧 演 呢,1,10
以为 你 不想,1,7
以为 你 以为 不想,1,10
以为 演 电视剧 电视剧 呢,1,14
以为 演 电视剧 呢,1,10
以为 演 演 电视剧 呢,1,12
以为多么高级的系统,0,9
以为你在读研,0,6
以为他要圈地,0,6
以为演电视剧呢,1,7
以為他們真是神仙呀,0,9
以眼还眼,0,4
以一己之力,0,5
倚老卖老,0,4
艺高人胆大,0,5
议会和军事机构,0,7
抑郁症后期常见表现,0,9
疫苗 他们 有 打 疫苗 哦,1,14
疫情都要驻厂,0,6
疫情三年,0,4
疫情三年没抗住,0,7
意大利🇮🇹,0,7
意识不强,0,4
意识个啥啊,0,5
意思 加 就是 一輩子 喂,1,13
意思就是加了就是一輩子了喂,1,13
意思老公都在,0,6
意思是没事了,0,6
意思有个孩子,0,6
意义 什么 有,1,7
因病返贫不值得,0,7
因各种原因,0,5
因为,0,2
因为 “ 软肋 ” 别人 手里,1,15
因为 复杂,1,5
因为 复杂 手续,1,8
因为 复杂 手续 复杂,1,11
因为 你 因为 长得帅,1,11
因为 你 长得帅,1,8
因为 沙特 这 之前 的,1,12
因为 手续,1,5
因为 手续 复杂,1,8
因为 手续 手续 复杂,1,11
因为 因为 你 长得帅,1,11
因为 因为 有 脂肪 挡,1,12
因为 有 脂肪,1,7
因为 有 脂肪 挡,1,9
因为 有 脂肪 挡 挡,1,11
因为 长得帅,1,6
因为 这样 的,1,7
因为“软肋”在别人手里,1,11
因为不用负责任,0,7
因为会影响交通,0,7
因为辣,0,3
因为你长得帅,1,6
因为人流少,0,5
因为人是大学生啊,0,8
因为沙特在这之前一直中立的,1,13
因为手续复杂,1,6
因为司法不公,0,6
因为太好赚钱,0,6
因为挺多无效疫苗,0,8
因为未满14岁,0,7
因为我独生女,0,6
因为下雨时间很长,0,8
因为鸭子非常便宜,0,8
因为一旦发生事故,0,8
因为营销号带节奏,0,8
因为有顾客,0,5
因为有脂肪挡,1,6
因为战争胳膊受伤了,0,9
因为真的很难抢到票,0,9
阴阳两隔,0,4
音乐会一直不许带水,0,9
引关注,0,3
引进黑绿,0,4
引起 我 的 反感,1,9
引起组织广泛充血,0,8
引用这样的段落支持,0,9
饮茶,0,2
饮鸩止渴,0,4
印第安人没多少了吧,0,9
印度 ： 正是 ： 在 下,1,13
印度 ： 正是 下,1,9
印度 ： 正是 下 在 下,1,13
印度 ： 正是 在 下,1,11
印度 下 正是 在 ：,1,11
印度 正是 在,1,7
印度：正是在下,1,7
印象里不是免费的,0,8
英国王室的遗产,0,7
英伦三岛分家算了,0,8
英雄,0,2
英语很好,0,4
英语考试睡着,0,6
婴儿那么软那么嫩,0,8
营销号博眼球夸大瞎扯的东西,1,13
赢 了,1,3
影视Ip带动旅游业,0,9
影响不大,0,4
影响恶劣,0,4
影响发挥,0,4
影响公共交通,0,6
影响忽略不计,0,6
影响女生加练,0,6
影响周围人生活,0,7
应把事件说清楚,0,7
应当从严从重,0,6
应当判死刑,0,5
应该 把 流浪 狗 养起来,1,13
应该 是 临时工 放进去 的,1,14
应该20年已上,0,7
应该把撤回时间延时,0,9
应该都行政拘留,0,7
应该交税,0,4
应该拘留,0,4
应该拉出去游街示众,0,9
应该判处缓刑,0,6
应该判决死刑,0,6
应该判刑,0,4
应该去坐司机的位置,0,9
应该是临时工放进去的,1,10
应该是停马路上,0,7
应该是我们湖北的,0,8
应该是准备资金,0,7
应该是自己割掉的吧,0,9
应该为他骄傲,0,6
应该无罪释放,0,6
应该喜提银镯,0,6
应该刑拘,0,4
应该阉割,0,4
应该严惩不贷,0,6
应该严管,0,4
应该也会离了,0,6
应该怎么办,0,5
应该直接打回,0,6
应该尊重事实,0,6
应急避险,0,4
应急管理局,0,5
应届 毕业生 别 跟着 瞎,1,13
应届毕业生别跟着瞎起哄,1,11
应拒绝出售车票,0,7
应用锁啊,0,4
应制定相关政策,0,7
硬起来了,0,4
硬套不需要百度,0,7
硬套不需要构成要件,0,9
永定河的王八,0,6
永久停更了,0,5
永远都不会变,0,6
永远指望别人擦屁股,0,9
勇敢又仗义,0,5
用 “ 女孩 ”,1,8
用 你 的 逼 告诉 你 马长,1,15
用 你 的 我 你 马长 啥样,1,15
用 手机 要 也 电,1,10
用 手机 也 要,1,8
用 手机 也 要 电,1,10
用 手机 也 用 要 电,1,12
用 要 “ 女孩 ”,1,10
用 也 要 电,1,7
用 有 毛线 用,1,8
用gs441就能治,0,9
用爱心做事,0,5
用不完,0,3
用不着戾气那么重吧,0,9
用锤子的时候,0,6
用词 注意 请,1,7
用词不对,0,4
用的着去公安局,0,7
用好新本领,0,5
用拘留吗,0,4
用老太,0,3
用力太多了,0,5
用糧食做武器,0,6
用脑子想一想,0,6
用你的逼告诉我你马长啥样,1,12
用起,0,2
用人单位,0,4
用人单位能随便罚款,0,9
用扫把的把子,0,6
用手机也要电,1,6
用他们的鞋子来打我,0,9
用鞋砸人违法不,0,7
用心在做事的人,0,7
用心做事,0,4
用药毒死就好了,0,7
用一生去报恩吧,0,7
优化服务”的原则,0,8
优化住房信贷政策,0,8
优秀,1,2
优秀 优秀,1,5
呦呦呦,0,3
幽默 的,1,4
尤其 吃,1,4
尤其 是 吃 吃 重庆火锅,1,13
尤其 是 吃 重庆火锅,1,11
尤其 是 重庆火锅,1,9
尤其是吃重庆火锅,1,8
尤其是有些人,0,6
由 诈骗 分子 公司,1,10
由生育保险承担吗,0,8
由于还未满60岁,0,8
油罐车起火,0,5
油价一直高位运行,0,8
游客当自重,0,5
游客管不住手去摘,0,8
游客屁事真多,0,6
友便信君,0,4
友情杀猪盘,0,5
友情长存,0,4
友信无碍,0,4
有 补贴 铁拳,1,7
有 错,1,3
有 好查 的,1,6
有 精神病 为什么 不 在 里,1,15
有 具体措施 具体措施 吗,1,13
有 具体措施 吗,1,8
有 可 什么 致敬 的,1,11
有 吗,1,3
有 吗 具体措施 吗,1,10
有 毛线 毛线 用,1,9
有 毛线 用,1,6
有 脑子 问题,1,7
有 能力 就 要 用,1,10
有 能力 就 一定 要 用,1,13
有 其母 必有 其女,1,10
有 肉盾,1,4
有 润滑 作用,1,7
有 上 存量 差距,1,9
有 什么 好查 的,1,9
有 什么 可 有 致敬 的,1,13
有 什么 可 致敬 的,1,11
有 什么 什么 问题,1,10
有 什么 问题,1,7
有 什么 问题 问题,1,10
有 什么 意义,1,7
有 什么 意义 意义,1,10
有 什么 用处,1,7
有 铁拳 补贴,1,7
有 铁拳 铁拳 补贴,1,10
有 我们 肉盾,1,7
有 污染,1,4
有 意义,1,4
有 意义 什么,1,7
有 意义 什么 意义,1,10
有 因为 脂肪 挡,1,9
有 用,1,3
有 用 毛线,1,6
有 有 能力 就 一定 要 用,1,15
有 有 润滑 作用,1,9
有 有 什么 好查 的,1,11
有 有 什么 可 致敬 的,1,13
有 这 力气,1,6
有 这 力气 骂人,1,9
有 这 力气 有 骂人,1,11
有 这 骂人 力气,1,9
有 这 这 力气 骂人,1,11
有 致敬 的,1,6
有 子宫,1,4
有 作用 润滑,1,7
有35岁门槛吗,0,7
有安全隐患,0,5
有百科吗xd,0,6
有摆渡车无可厚非,0,8
有办法吗,0,4
有暴力倾向,0,5
有必要发到网上吗,0,8
有必要卷吗,0,5
有必要拖在肩上吗,0,8
有编教师,0,4
有编制的,0,4
有编制为什么不选,0,8
有鞭刑就好了,0,6
有病,1,2
有病 吧,1,4
有病 吧 吧,1,6
有病 不治,1,5
有病 有病,1,5
有病 有病 吧,1,7
有病 有病 不治,1,8
有病吧,0,3
有病不治,1,4
有病忘吃药了吧,0,7
有补录吗,0,4
有操控舆论的嫌疑,0,8
有次模 考考 难 了,1,10
有次模 考考 难 有次模 了,1,14
有次模 难 考考 了,1,10
有次模 难 了,1,7
有次模 有次模 考考 难 了,1,14
有次模考考难了,1,7
有大爱的人,0,5
有胆有识,0,4
有的不这样,0,5
有的肠道干燥,0,6
有的车站有收费服务,0,9
有的公务员,0,5
有的官媒都不会用呢,0,9
有的妈妈是妈妈,0,7
有的妈妈是禽兽,0,7
有的没有,0,4
有的气不够,0,5
有的人撑不住夜班啊,0,9
有的人类大脑,0,6
有的生父是禽兽不如,0,9
有的是办法应对策略,0,9
有的自闭症儿童打人,0,9
有的坐很久的,0,6
有点 能力,1,5
有点 有点 能力,1,8
有点儿 急 了 点儿,1,10
有点儿 有点儿 急 了 点儿,1,14
有点儿急了点儿,1,7
有点儿意思啊,0,6
有点过分了,0,5
有点过份了,0,5
有点良心吧,0,5
有点能力,1,4
有法院,0,3
有分歧时该听谁的呢,0,9
有个高考的,0,5
有个横尸路旁的,0,7
有个女的纯白色,0,7
有个人,0,3
有个中考的孩子,0,7
有工作不找,0,5
有关系你也可以,0,7
有过淡然,0,4
有过痛心,0,4
有孩子,0,3
有孩子的,0,4
有何,1,2
有何 可叹,1,5
有何 可叹 可叹,1,8
有何不可,0,4
有何可叹,1,4
有何意义,0,4
有何冤情,0,4
有恢复视力可能,0,7
有机会一定去,0,6
有几个发这种视频,0,8
有监控,0,3
有鉴于此,0,4
有奖的被刮了,0,6
有觉悟,0,3
有精神病为什么不呆在精神病院里,1,15
有具体措施吗,1,6
有理有据,0,4
有漏洞,0,3
有落实的吗,0,5
有毛病,0,3
有毛线用,1,4
有没有 可能 是 国 制造 的,1,15
有没有采取应急措施,0,9
有没有穿越火线呢,0,8
有没有副作用,0,6
有没有过,0,4
有没有考虑过,0,6
有没有可能是炒作,0,8
有没有人组团揍他啊,0,9
有没有想过,0,5
有没有一种可能,0,7
有墨西哥呀,0,5
有脑子真的太重要了,0,9
有能力就一定要用,1,8
有你们这个商场啊,0,8
有屁用,0,3
有期徒刑26年,0,7
有其它目的的除外,0,8
有钱 确实,1,5
有钱 确实 可以,1,8
有钱 确实 可以 为所欲为,1,13
有钱能使鬼推磨,0,7
有钱确实可以为所欲为,1,10
有钱遭罪受,0,5
有人搬家弄丢了,0,7
有人不服很正常,0,7
有人给你让座就行了,0,9
有人买了,0,4
有人买吗,0,4
有人问你吗,0,5
有人做过科普,0,6
有润滑作用,1,5
有啥好看的,0,5
有啥问题,0,4
有啥问题吗,0,5
有啥用,0,3
有伤亡没,0,4
有什么大惊小怪的,0,8
有什么好查的,1,6
有什么好奇怪的,0,7
有什么可致敬的,1,7
有什么问题,1,5
有什么意义,1,5
有什麼不可信,0,6
有时候压力真的很大,0,9
有食品法的,0,5
有市民工嘛,0,5
有事拖人家挡枪,0,7
有收成就可以,0,6
有铁拳补贴,1,5
有同性亲属在,0,6
有偷拍女孩也得处罚,0,9
有问题嘛,0,4
有我有我,0,4
有现场的人吗,0,6
有些会影响检测的吗,0,9
有些交警也不太懂法,0,9
有些女的真不像女的,0,9
有些人就是学不懂,0,8
有些人心理就这样,0,8
有些我现在也会干,0,8
有些乡社没有,0,6
有些中国人真是黄e孝子,1,11
有样学样,0,4
有一方反悔了,0,6
有一个空缺,0,5
有一说一,0,4
有意思 没,1,5
有意思 有意思 没,1,9
有意思没,1,4
有营业执照就会给上,0,9
有用么,0,3
有这功夫,0,4
有这力气骂人,1,6
有这事,0,3
有这种婆婆太吓人了,0,9
有自己的车,0,5
有足够的体力,0,6
有组团去的吗,0,6
有罪的不要放过,0,7
有罪论又开始了,0,7
又 啊,1,3
又 啊 全面落实,1,8
又 变成 不 透露 了,1,11
又 不,1,3
又 不 改,1,5
又 不是 犯罪,1,7
又 出去 消费,1,7
又 反正 不是 犯罪,1,10
又 改 不,1,5
又 就 张嘴 开始 来 了,1,13
又 开始 就 来 了,1,10
又 开始 就 张嘴 来 了,1,13
又 开始 又 张嘴 就 来 了,1,15
又 开始 张嘴 就 来,1,11
又 开始 张嘴 就 来 了,1,13
又 偏偏 假装 大度,1,10
又 全面落实 啊,1,8
又 全面落实 啊 啊,1,10
又 全面落实 又 啊,1,10
又 时间 了 才能 出去 消费,1,15
又 时间 了 才能 消费,1,12
又 时间 了 才能 消费 出去,1,15
又 赢 了,1,5
又 赢 赢 了,1,7
又 又 老实 反正 吃苦耐劳,1,14
又碍 着 了,1,6
又报名提前二批,0,7
又被美帝利用了,0,7
又不改,1,3
又不敢承认,0,5
又不能处罚,0,5
又不能怎样,0,5
又不是出国语言不通,0,9
又不是非要娶,0,6
又不是过期,0,5
又不是叫老旅,0,6
又不是没有过先例,0,8
又不是拍隐私部位,0,8
又不是什么必需品,0,8
又不是压残疾了,0,7
又不是自己家的,0,7
又不想赔钱,0,5
又苍蝇,0,3
又吃到了火锅,0,6
又出来乱说,0,5
又出来造谣了,0,6
又出事了,0,4
又蠢又坏,0,4
又掉头了,0,4
又赌又洗,0,4
又搞笑又奇怪,0,6
又关你什么事,0,6
又何必去骂人呢,0,7
又和解了,0,4
又降了温,0,4
又开始张嘴就来了,1,8
又看到了你们,0,6
又扛不住压力,0,6
又辣又油,0,4
又来,0,2
又两百块吗,0,5
又没讲牌子,0,5
又没抓到现行,0,6
又闷又不吸汗,0,6
又拿精神病说事了,0,8
又能获得社会名誉,0,8
又穷又有新冠,0,6
又全面落实啊,1,6
又时间了才能出去消费,1,10
又是大漂亮干的,0,7
又是导游,0,4
又是和解,0,4
又是红黄蓝,0,5
又是精神病,0,5
又是精神不正常,0,7
又是澎湃的内容,0,7
又是亲属,0,4
又是死ng,0,5
又是唐山,0,4
又是同性,0,4
又是献祭?,0,5
又是小仙女胡闹,0,7
又是盐城,0,4
又是云南,0,4
又是造谣,0,4
又谁做乱世执剑人,0,8
又想娶又不想出彩礼,0,9
又要晴了的感觉,0,7
又要上去找医生加号,0,9
又要重蹈覆辙了么,0,8
又一次失去了味觉,0,8
又因必有果,0,5
又赢了,1,3
又又又,0,3
又怎么了,0,4
又窄又急又险,0,6
又涨,0,2
又涨了,0,3
又整新词,0,4
又准备重启煤电,0,7
诱导下载,0,4
鱼都没命了,0,5
鱼烂虾 臭,1,5
鱼烂虾 臭 鱼烂虾,1,9
娱乐圈是,0,4
娱乐设施同质化,0,7
愚昧无知,0,4
舆论压力开始增加,0,8
与莽夫去拚命,0,6
与其这样淋着,0,6
与人为善,0,4
与身份无关,0,5
雨 就是 听风,1,7
雨后加重才出事的,0,8
雨进不来,0,4
雨水明显,0,4
雨虽然下,0,4
雨太大了,0,4
雨天,0,2
雨下个没完了,0,6
雨小了,0,3
雨一直下,0,4
雨中 奔跑,1,5
雨中 奔跑 奔跑,1,8
雨中奔跑,1,4
语 无 语,1,5
语言之“优越”,0,7
玉骨遥,0,3
玉骨遥真的很好看,0,8
玉玉症,0,3
玉玉症 XXN 了,1,9
玉玉症已经保不住XXN了,1,12
预防灾患,0,4
预警的也不是泉州啊,0,9
预约好多天预约不上,0,9
遇到个硬茬子,0,6
遇到过,0,3
遇到欺诈销售,0,6
遇到手机声音外放,0,8
元芳,0,2
园内审美设计,0,6
员工 和 公务员 有 福 啦,1,14
原爆料说是渔政的船,0,9
原地枪毙了这畜牲,0,8
原来 啊 他们 还有 父母 啊,1,15
原来 他们 还有 啊 父母,1,13
原来 他们 还有 父母 啊,1,13
原来的假期也要没咯,0,9
原来飞云是狮子座啊,0,9
原来是休克啊,0,6
原来他们还有父母啊,1,9
原来网红都有别墅,0,8
原来一开始才一架,0,8
原谅我吧,0,4
原人平安,0,4
原则上对于抽烟的人,0,9
远不止这个数量,0,7
远点下车,0,4
远离封建糟粕的地方,0,9
远离吉林,0,4
远离某省,0,4
愿大家平安脱险,0,7
愿福建同胞平安,0,7
愿国泰民安,0,5
愿没有人员伤亡,0,7
愿平安,0,3
愿逝者安息吧!,0,7
愿天堂没有痛苦,0,7
愿万州人民平安度过,0,9
愿闻其详,0,4
愿意 看 的 叫做 了 他们,1,14
愿意 看 叫做 便宜 了 他们,1,15
愿意出来淌混水,0,7
愿意穿的人多着呢,0,8
愿意看的叫做便宜了他们,1,11
愿意去就去,0,5
愿雨过天晴,0,5
约．P行为,0,5
约谈好价格,0,5
月收入过万,0,5
阅读理解还OK吗,0,8
越大 越画 并且,1,8
越低档,0,3
越豪华的社区,0,6
越简单的住宅,0,6
越简单越方便,0,6
越来越惊人,0,5
越老越不正经,0,6
越描越黑,0,4
越穷的地方越要彩礼,0,9
粤菜,0,2
晕倒的在跑道,0,6
云南,0,2
云南老表说得对,0,7
云南旅游已经烂透了,0,9
云南没咋回事,0,6
云南米轨,0,4
云南青山恶水出坏人,0,9
云南医生最有经验了,0,9
云南怎么惹你了,0,7
允许 年轻人 生病 吗,1,11
允许黑熊直立行走,0,8
孕妇,0,2
孕也怀了,0,4
运送物资,0,4
酝酿了几天,0,5
杂拍不得,0,4
咋 滴,1,3
咋 还 当真 呢,1,8
咋 还 呢,1,5
咋 还 信,1,5
咋 还 信 还 这些,1,10
咋 还 信 这些,1,8
咋 还 这些 信 这些,1,11
咋 你 知道,1,6
咋 咋 滴,1,5
咋 知道,1,4
咋处理的,0,4
咋滴,1,2
咋还信这些,1,5
咋还这样,0,4
咋开进去的,0,5
咋了,0,2
咋么就成开发商的了,0,9
咋们只能先做好自己,0,9
咋找到头的呢,0,6
灾祸面前都不容易,0,8
灾祸之下,0,4
仔细看,0,3
仔细看看,0,4
仔细看看新闻吧,0,7
再 杯弓蛇影 扰乱 群众 思想,1,15
再不改改落后的法条,0,9
再吃喝拉撒,0,5
再出个防防拉黑功能,0,9
再等等,0,3
再多也不多,0,5
再高价割韭菜,0,6
再构 普构 啊,1,7
再好下去,0,4
再回去发视频,0,6
再看看我们的,0,6
再使点劲儿,0,5
再说,0,2
再说 先 落实 双休 再说,1,13
再说人家一直锻炼,0,8
再问为什么一针难求,0,9
再下护城河都满了,0,8
再也不出去了,0,6
再也不来敦煌了,0,7
再这么被天灾搞一下,0,9
在 ： 正是 印度 下,1,11
在 可惜 没用 在 正途 上,1,14
在 社会 这个 上 很 正常,1,14
在 这个 上 正常,1,9
在 这个 社会 上 很 正常,1,14
在 正常 社会 上 很 这个,1,14
在ktv干歌迷,0,7
在吃面包,0,4
在单位受领导的气,0,8
在地铁上说打就打,0,8
在公司没胃口,0,6
在河南的西安班,0,7
在华组装而已,0,6
在机器识别中就碎了,0,9
在家点火不是吗,0,7
在家里蹲,0,4
在哪瞅见的,0,5
在哪预约,0,4
在努力范围之内,0,7
在泉州做生意,0,6
在任何平台阅读文章,0,9
在上海打拼,0,5
在沈阳呆了7小时,0,8
在市区,0,3
在我国,0,3
在我们这,0,4
在我们这里打疫苗前,0,9
在现场看了,0,5
在校外租房的大学生,0,9
在夜市边上买桃子,0,8
在一起就去登记吧,0,8
在用手机拍到哪站了,0,9
在这个社会上很正常,1,9
在这里不能说,0,6
在这些城市,0,5
在主任宝宝的带动下,0,9
咱就说,0,3
咱遇到了,0,4
咱这就是三天内有效,0,9
攒了首付,0,4
赞同,0,2
赞同你的观点,0,6
赞赞赞,0,3
早 好 走 就 转接 了,1,12
早 转接 转接 走 就 好 了,1,15
早 转接 走 就 好 好 了,1,14
早 转接 走 就 好 了,1,12
早 转接 走 了 好 就,1,12
早 走 就 好,1,7
早🌞,0,3
早啊,0,2
早安,0,2
早安[咖啡],0,6
早安🌞,0,4
早都影响到济南了,0,8
早该如此,0,4
早该整顿,0,4
早干嘛去了,0,5
早就,1,2
早就 搬 回家 了,1,9
早就 搬 回家 早就 了,1,12
早就 搬 了 回家,1,9
早就 回家 了,1,7
早就 早就 搬 回家 了,1,12
早就搬回家了,1,6
早就被带走拘留了,0,8
早就麻木了,0,5
早就应该关闭了,0,7
早就应该关门了,0,7
早上给他穿衣服,0,7
早上还在得意,0,6
早上好,0,3
早上好🌞🌞🌞,0,9
早上就中暑了,0,6
早上流产,0,4
早死了,0,3
早晚新闻出河南,0,7
早晚一班,0,4
早应该关掉,0,5
早炸 了,1,4
早炸 了 了,1,6
早炸 早炸 了,1,7
早炸了,1,3
早知今日,0,4
早转接走就好了,1,7
早转移,0,3
造成几十万损失,0,7
造福人类,0,4
造孽啊,0,3
造谣,0,2
造谣 还 说 不是,1,9
造谣 就 呢 上 头条 了 能,1,15
造谣 就 能 上 头条 了 呢,1,15
造谣 了 能 上 头条 就 呢,1,15
造谣成本太低,0,6
造谣带节奏的呢,0,7
造谣的蓝V一大堆,0,8
造谣的没被抓,0,6
造谣的人太可怕,0,7
造谣就能上头条了呢,1,9
造谣生事,0,4
造谣违法成本太低,0,8
造谣者抓,0,4
则乱世也得安身所,0,8
责任 美国,1,5
责任 美国 全在 美国,1,11
责任 全在 美国,1,8
责任 全在 全在 美国,1,11
责任全在美国,1,6
责任人必须死,0,6
泽连斯基,0,4
啧啧啧,0,3
啧啧啧啧啧啧啧啧,0,8
贼喊捉贼,0,4
怎么 错,1,4
怎么 错 有,1,6
怎么 错 有 错,1,8
怎么 弹性 是 怎么 个 弹法,1,15
怎么 你 了,1,6
怎么 他们 怎么 你 了,1,12
怎么 洗,1,4
怎么 有 错,1,6
怎么 有 怎么 错,1,9
怎么 怎么 洗,1,7
怎么办呢,0,4
怎么办呀,0,4
怎么暴,0,3
怎么不发钱,0,5
怎么倒闭了,0,5
怎么都扶不起车,0,7
怎么读,0,3
怎么发有热点,0,6
怎么分,0,3
怎么改,0,3
怎么个全面呢,0,6
怎么回事,0,4
怎么会不愿接受呢,0,8
怎么会死机,0,5
怎么会有你这种想法,0,9
怎么获取的,0,5
怎么结局,0,4
怎么进的,0,4
怎么进去的,0,5
怎么就那么大阵势,0,8
怎么开进去的鸭,0,7
怎么看到是在看相册,0,9
怎么可能道歉,0,6
怎么离谱了,0,5
怎么能安装上去,0,7
怎么能不是北京呢,0,8
怎么能偷,0,4
怎么农民老了后,0,7
怎么辱骂的,0,5
怎么杀的,0,4
怎么上去的,0,5
怎么说成谈恋爱了,0,8
怎么说呢,0,4
怎么说呢说是网暴,0,8
怎么说也不对吧,0,7
怎么停,0,3
怎么突然开始调查了,0,9
怎么违规的,0,5
怎么洗,1,3
怎么一直涨,0,5
怎么有错,1,4
怎么又是红黄蓝,0,7
怎么这么狠,0,5
怎么整,0,3
怎么治脚气,0,5
怎么做到的,0,5
怎样,1,2
增程 还 搞 __ 吗,1,11
增强大腿肌肉力量,0,8
赠予可以撤销啊,0,7
扎克39岁,0,5
扎了某些人心了,0,7
扎心的大实话,0,6
扎针的,0,3
渣土车就是一群流氓,0,9
诈骗 肆意,1,5
诈骗 新疆 100 万,1,11
诈骗 新疆 一人近 100 万,1,15
诈骗新疆一人近100万,1,11
宅在家的多了,0,6
展现不凡,0,4
展现新风貌,0,5
占地方第三产业垃圾,0,9
战场一定在日本,0,7
战术性腹泻,0,5
战战,0,2
战争年代的标准,0,7
站 的 锁 容易 撬 啊,1,12
站的在走廊,0,5
站非常小,0,4
站了两站后,0,5
站在外面觉得是荒唐,0,9
站着尿尿又没露屁股,0,9
张国荣,0,3
张某拖行交警,0,6
张薇保研作弊,0,6
张薇的功劳,0,5
张薇感觉热度过去了,0,9
张薇之恶,0,4
张信哲,0,3
张雪峰说的没错吧,0,8
张掖sb机场,0,6
张云雷,0,3
长大就是痴汉,0,6
长得帅 你 因为,1,8
长的最抽象的女子,0,8
长风渡完整的看完了,0,9
长记性了,0,4
长江日报报业集团的,0,9
长裤,0,2
长期被欺负,0,5
长情陪伴俩犯人,0,7
长沙四站都在,0,6
长新冠,0,3
长语音倍速播放,0,7
长月烬明还不算爆吗,0,9
长长经验,0,4
涨的是服务费,0,6
涨价 吧,1,4
涨涨工资,0,4
帐含义多为布制品,0,8
帐号被盗,0,4
招标,0,2
找 和 稀泥,1,6
找 警察 和 顿 稀泥,1,11
找 警察 和 警察 顿 稀泥,1,14
找 你,1,3
找 为什么 你,1,7
找保险啊,0,4
找不到工作呗,0,6
找不到理由换,0,6
找到合适的工作,0,7
找个工作还七嘴八舌,0,9
找工人改过来就是了,0,9
找警察和顿稀泥,1,7
找了一份5,0,5
找平台投诉,0,5
赵家的吧,0,4
赵露思,0,3
赵露思好棒,0,5
赵露思真棒,0,5
照顾异性老人,0,6
照例还是老板画的饼,0,9
照片真好看,0,5
照样被水泡,0,5
照样玩的非常开心,0,8
肇事逃逸,0,4
遮挡 车牌 12 啊,1,10
遮挡 分,1,4
遮挡车牌,0,4
遮挡车牌12分啊,1,8
遮掩都懒得遮掩了,0,8
这 .,1,3
这 杯水,1,4
这 杯水 要 强奸 我 系列,1,14
这 不 黑社会 就 黑社会 吗,1,15
这 不 就 黑社会,1,9
这 不 就 黑社会 吗,1,11
这 不 就 黑社会 吗 吗,1,13
这 不 就是 吗,1,8
这 不 就是 他们 吗,1,11
这 不 就是 投机倒把 吗,1,13
这 不 吗 黑社会 就,1,11
这 不 吗 投机倒把 就是,1,13
这 不 投机倒把 就是 吗,1,13
这 不是,1,4
这 不是 悲剧,1,7
这 不是 不是 公事 么,1,12
这 不是 操作 正常,1,10
这 不是 工作 的 你们 吗,1,14
这 不是 公事 么,1,9
这 不是 么 公事 么,1,11
这 不是 你们 的 工作,1,12
这 不是 你们 的 工作 吗,1,14
这 不是 杂技 吗,1,9
这 不是 这 悲剧,1,9
这 不是 正常 操作,1,10
这 不是 正常 正常 操作,1,13
这 操作 不是 正常 操作,1,13
这 吃 相 难看 太 着实,1,13
这 吃 相 着实 太 难看,1,13
这 刺激,1,4
这 都 场面,1,6
这 都 都 是 小 场面,1,12
这 都 是 小,1,7
这 都 是 小 场面,1,10
这 高高在上 的 回复,1,11
这 高高在上 的 回复 语气,1,14
这 高高在上 回复 语气,1,12
这 公事 么,1,6
这 还 需要 辟谣,1,9
这 还 需要 需要 辟谣,1,12
这 回复 的 高高在上 语气,1,14
这 家伙,1,4
这 就 和解 和解 啦,1,11
这 就 和解 啦,1,8
这 就 和解 这 啦,1,10
这 就 啦 和解,1,8
这 就是 就是 作大死 了,1,13
这 就是 作大死 了,1,10
这 考公 的 理由 之一,1,12
这 了,1,3
这 了 受 什么 刺激 是,1,13
这 吗,1,3
这 毛病 没 吧,1,8
这 没 毛病,1,6
这 没 毛病 吧,1,8
这 没 毛病 吧 吧,1,10
这 是 .,1,5
这 是 啊 挑食 不,1,10
这 是 不,1,5
这 是 不 挑食 啊,1,10
这 是 不 挑食 不 啊,1,12
这 是 不 挑食 挑食 啊,1,13
这 是 吗,1,5
